.DATA  mydata
+	R		C1		C2
	3k		1.0f		1.0f
	3k		1.0f		1.52f
	3k		1.0f		2.3f
	3k		1.0f		3.48f
	3k		1.0f		5.28f
	3k		1.0f		8.0f
	3k		1.23f		1.0f
	3k		1.23f		1.52f
	3k		1.23f		2.3f
	3k		1.23f		3.48f
	3k		1.23f		5.28f
	3k		1.23f		8.0f
	3k		1.52f		1.0f
	3k		1.52f		1.52f
	3k		1.52f		2.3f
	3k		1.52f		3.48f
	3k		1.52f		5.28f
	3k		1.52f		8.0f
	3k		1.87f		1.0f
	3k		1.87f		1.52f
	3k		1.87f		2.3f
	3k		1.87f		3.48f
	3k		1.87f		5.28f
	3k		1.87f		8.0f
	3k		2.3f		1.0f
	3k		2.3f		1.52f
	3k		2.3f		2.3f
	3k		2.3f		3.48f
	3k		2.3f		5.28f
	3k		2.3f		8.0f
	3k		2.83f		1.0f
	3k		2.83f		1.52f
	3k		2.83f		2.3f
	3k		2.83f		3.48f
	3k		2.83f		5.28f
	3k		2.83f		8.0f
	3k		3.48f		1.0f
	3k		3.48f		1.52f
	3k		3.48f		2.3f
	3k		3.48f		3.48f
	3k		3.48f		5.28f
	3k		3.48f		8.0f
	3k		4.29f		1.0f
	3k		4.29f		1.52f
	3k		4.29f		2.3f
	3k		4.29f		3.48f
	3k		4.29f		5.28f
	3k		4.29f		8.0f
	3k		5.28f		1.0f
	3k		5.28f		1.52f
	3k		5.28f		2.3f
	3k		5.28f		3.48f
	3k		5.28f		5.28f
	3k		5.28f		8.0f
	3k		6.5f		1.0f
	3k		6.5f		1.52f
	3k		6.5f		2.3f
	3k		6.5f		3.48f
	3k		6.5f		5.28f
	3k		6.5f		8.0f
	3k		8.0f		1.0f
	3k		8.0f		1.52f
	3k		8.0f		2.3f
	3k		8.0f		3.48f
	3k		8.0f		5.28f
	3k		8.0f		8.0f
	4k		1.0f		1.0f
	4k		1.0f		1.52f
	4k		1.0f		2.3f
	4k		1.0f		3.48f
	4k		1.0f		5.28f
	4k		1.0f		8.0f
	4k		1.23f		1.0f
	4k		1.23f		1.52f
	4k		1.23f		2.3f
	4k		1.23f		3.48f
	4k		1.23f		5.28f
	4k		1.23f		8.0f
	4k		1.52f		1.0f
	4k		1.52f		1.52f
	4k		1.52f		2.3f
	4k		1.52f		3.48f
	4k		1.52f		5.28f
	4k		1.52f		8.0f
	4k		1.87f		1.0f
	4k		1.87f		1.52f
	4k		1.87f		2.3f
	4k		1.87f		3.48f
	4k		1.87f		5.28f
	4k		1.87f		8.0f
	4k		2.3f		1.0f
	4k		2.3f		1.52f
	4k		2.3f		2.3f
	4k		2.3f		3.48f
	4k		2.3f		5.28f
	4k		2.3f		8.0f
	4k		2.83f		1.0f
	4k		2.83f		1.52f
	4k		2.83f		2.3f
	4k		2.83f		3.48f
	4k		2.83f		5.28f
	4k		2.83f		8.0f
	4k		3.48f		1.0f
	4k		3.48f		1.52f
	4k		3.48f		2.3f
	4k		3.48f		3.48f
	4k		3.48f		5.28f
	4k		3.48f		8.0f
	4k		4.29f		1.0f
	4k		4.29f		1.52f
	4k		4.29f		2.3f
	4k		4.29f		3.48f
	4k		4.29f		5.28f
	4k		4.29f		8.0f
	4k		5.28f		1.0f
	4k		5.28f		1.52f
	4k		5.28f		2.3f
	4k		5.28f		3.48f
	4k		5.28f		5.28f
	4k		5.28f		8.0f
	4k		6.5f		1.0f
	4k		6.5f		1.52f
	4k		6.5f		2.3f
	4k		6.5f		3.48f
	4k		6.5f		5.28f
	4k		6.5f		8.0f
	4k		8.0f		1.0f
	4k		8.0f		1.52f
	4k		8.0f		2.3f
	4k		8.0f		3.48f
	4k		8.0f		5.28f
	4k		8.0f		8.0f
	5k		1.0f		1.0f
	5k		1.0f		1.52f
	5k		1.0f		2.3f
	5k		1.0f		3.48f
	5k		1.0f		5.28f
	5k		1.0f		8.0f
	5k		1.23f		1.0f
	5k		1.23f		1.52f
	5k		1.23f		2.3f
	5k		1.23f		3.48f
	5k		1.23f		5.28f
	5k		1.23f		8.0f
	5k		1.52f		1.0f
	5k		1.52f		1.52f
	5k		1.52f		2.3f
	5k		1.52f		3.48f
	5k		1.52f		5.28f
	5k		1.52f		8.0f
	5k		1.87f		1.0f
	5k		1.87f		1.52f
	5k		1.87f		2.3f
	5k		1.87f		3.48f
	5k		1.87f		5.28f
	5k		1.87f		8.0f
	5k		2.3f		1.0f
	5k		2.3f		1.52f
	5k		2.3f		2.3f
	5k		2.3f		3.48f
	5k		2.3f		5.28f
	5k		2.3f		8.0f
	5k		2.83f		1.0f
	5k		2.83f		1.52f
	5k		2.83f		2.3f
	5k		2.83f		3.48f
	5k		2.83f		5.28f
	5k		2.83f		8.0f
	5k		3.48f		1.0f
	5k		3.48f		1.52f
	5k		3.48f		2.3f
	5k		3.48f		3.48f
	5k		3.48f		5.28f
	5k		3.48f		8.0f
	5k		4.29f		1.0f
	5k		4.29f		1.52f
	5k		4.29f		2.3f
	5k		4.29f		3.48f
	5k		4.29f		5.28f
	5k		4.29f		8.0f
	5k		5.28f		1.0f
	5k		5.28f		1.52f
	5k		5.28f		2.3f
	5k		5.28f		3.48f
	5k		5.28f		5.28f
	5k		5.28f		8.0f
	5k		6.5f		1.0f
	5k		6.5f		1.52f
	5k		6.5f		2.3f
	5k		6.5f		3.48f
	5k		6.5f		5.28f
	5k		6.5f		8.0f
	5k		8.0f		1.0f
	5k		8.0f		1.52f
	5k		8.0f		2.3f
	5k		8.0f		3.48f
	5k		8.0f		5.28f
	5k		8.0f		8.0f
	6k		1.0f		1.0f
	6k		1.0f		1.52f
	6k		1.0f		2.3f
	6k		1.0f		3.48f
	6k		1.0f		5.28f
	6k		1.0f		8.0f
	6k		1.23f		1.0f
	6k		1.23f		1.52f
	6k		1.23f		2.3f
	6k		1.23f		3.48f
	6k		1.23f		5.28f
	6k		1.23f		8.0f
	6k		1.52f		1.0f
	6k		1.52f		1.52f
	6k		1.52f		2.3f
	6k		1.52f		3.48f
	6k		1.52f		5.28f
	6k		1.52f		8.0f
	6k		1.87f		1.0f
	6k		1.87f		1.52f
	6k		1.87f		2.3f
	6k		1.87f		3.48f
	6k		1.87f		5.28f
	6k		1.87f		8.0f
	6k		2.3f		1.0f
	6k		2.3f		1.52f
	6k		2.3f		2.3f
	6k		2.3f		3.48f
	6k		2.3f		5.28f
	6k		2.3f		8.0f
	6k		2.83f		1.0f
	6k		2.83f		1.52f
	6k		2.83f		2.3f
	6k		2.83f		3.48f
	6k		2.83f		5.28f
	6k		2.83f		8.0f
	6k		3.48f		1.0f
	6k		3.48f		1.52f
	6k		3.48f		2.3f
	6k		3.48f		3.48f
	6k		3.48f		5.28f
	6k		3.48f		8.0f
	6k		4.29f		1.0f
	6k		4.29f		1.52f
	6k		4.29f		2.3f
	6k		4.29f		3.48f
	6k		4.29f		5.28f
	6k		4.29f		8.0f
	6k		5.28f		1.0f
	6k		5.28f		1.52f
	6k		5.28f		2.3f
	6k		5.28f		3.48f
	6k		5.28f		5.28f
	6k		5.28f		8.0f
	6k		6.5f		1.0f
	6k		6.5f		1.52f
	6k		6.5f		2.3f
	6k		6.5f		3.48f
	6k		6.5f		5.28f
	6k		6.5f		8.0f
	6k		8.0f		1.0f
	6k		8.0f		1.52f
	6k		8.0f		2.3f
	6k		8.0f		3.48f
	6k		8.0f		5.28f
	6k		8.0f		8.0f
	7k		1.0f		1.0f
	7k		1.0f		1.52f
	7k		1.0f		2.3f
	7k		1.0f		3.48f
	7k		1.0f		5.28f
	7k		1.0f		8.0f
	7k		1.23f		1.0f
	7k		1.23f		1.52f
	7k		1.23f		2.3f
	7k		1.23f		3.48f
	7k		1.23f		5.28f
	7k		1.23f		8.0f
	7k		1.52f		1.0f
	7k		1.52f		1.52f
	7k		1.52f		2.3f
	7k		1.52f		3.48f
	7k		1.52f		5.28f
	7k		1.52f		8.0f
	7k		1.87f		1.0f
	7k		1.87f		1.52f
	7k		1.87f		2.3f
	7k		1.87f		3.48f
	7k		1.87f		5.28f
	7k		1.87f		8.0f
	7k		2.3f		1.0f
	7k		2.3f		1.52f
	7k		2.3f		2.3f
	7k		2.3f		3.48f
	7k		2.3f		5.28f
	7k		2.3f		8.0f
	7k		2.83f		1.0f
	7k		2.83f		1.52f
	7k		2.83f		2.3f
	7k		2.83f		3.48f
	7k		2.83f		5.28f
	7k		2.83f		8.0f
	7k		3.48f		1.0f
	7k		3.48f		1.52f
	7k		3.48f		2.3f
	7k		3.48f		3.48f
	7k		3.48f		5.28f
	7k		3.48f		8.0f
	7k		4.29f		1.0f
	7k		4.29f		1.52f
	7k		4.29f		2.3f
	7k		4.29f		3.48f
	7k		4.29f		5.28f
	7k		4.29f		8.0f
	7k		5.28f		1.0f
	7k		5.28f		1.52f
	7k		5.28f		2.3f
	7k		5.28f		3.48f
	7k		5.28f		5.28f
	7k		5.28f		8.0f
	7k		6.5f		1.0f
	7k		6.5f		1.52f
	7k		6.5f		2.3f
	7k		6.5f		3.48f
	7k		6.5f		5.28f
	7k		6.5f		8.0f
	7k		8.0f		1.0f
	7k		8.0f		1.52f
	7k		8.0f		2.3f
	7k		8.0f		3.48f
	7k		8.0f		5.28f
	7k		8.0f		8.0f
	8k		1.0f		1.0f
	8k		1.0f		1.52f
	8k		1.0f		2.3f
	8k		1.0f		3.48f
	8k		1.0f		5.28f
	8k		1.0f		8.0f
	8k		1.23f		1.0f
	8k		1.23f		1.52f
	8k		1.23f		2.3f
	8k		1.23f		3.48f
	8k		1.23f		5.28f
	8k		1.23f		8.0f
	8k		1.52f		1.0f
	8k		1.52f		1.52f
	8k		1.52f		2.3f
	8k		1.52f		3.48f
	8k		1.52f		5.28f
	8k		1.52f		8.0f
	8k		1.87f		1.0f
	8k		1.87f		1.52f
	8k		1.87f		2.3f
	8k		1.87f		3.48f
	8k		1.87f		5.28f
	8k		1.87f		8.0f
	8k		2.3f		1.0f
	8k		2.3f		1.52f
	8k		2.3f		2.3f
	8k		2.3f		3.48f
	8k		2.3f		5.28f
	8k		2.3f		8.0f
	8k		2.83f		1.0f
	8k		2.83f		1.52f
	8k		2.83f		2.3f
	8k		2.83f		3.48f
	8k		2.83f		5.28f
	8k		2.83f		8.0f
	8k		3.48f		1.0f
	8k		3.48f		1.52f
	8k		3.48f		2.3f
	8k		3.48f		3.48f
	8k		3.48f		5.28f
	8k		3.48f		8.0f
	8k		4.29f		1.0f
	8k		4.29f		1.52f
	8k		4.29f		2.3f
	8k		4.29f		3.48f
	8k		4.29f		5.28f
	8k		4.29f		8.0f
	8k		5.28f		1.0f
	8k		5.28f		1.52f
	8k		5.28f		2.3f
	8k		5.28f		3.48f
	8k		5.28f		5.28f
	8k		5.28f		8.0f
	8k		6.5f		1.0f
	8k		6.5f		1.52f
	8k		6.5f		2.3f
	8k		6.5f		3.48f
	8k		6.5f		5.28f
	8k		6.5f		8.0f
	8k		8.0f		1.0f
	8k		8.0f		1.52f
	8k		8.0f		2.3f
	8k		8.0f		3.48f
	8k		8.0f		5.28f
	8k		8.0f		8.0f
	9k		1.0f		1.0f
	9k		1.0f		1.52f
	9k		1.0f		2.3f
	9k		1.0f		3.48f
	9k		1.0f		5.28f
	9k		1.0f		8.0f
	9k		1.23f		1.0f
	9k		1.23f		1.52f
	9k		1.23f		2.3f
	9k		1.23f		3.48f
	9k		1.23f		5.28f
	9k		1.23f		8.0f
	9k		1.52f		1.0f
	9k		1.52f		1.52f
	9k		1.52f		2.3f
	9k		1.52f		3.48f
	9k		1.52f		5.28f
	9k		1.52f		8.0f
	9k		1.87f		1.0f
	9k		1.87f		1.52f
	9k		1.87f		2.3f
	9k		1.87f		3.48f
	9k		1.87f		5.28f
	9k		1.87f		8.0f
	9k		2.3f		1.0f
	9k		2.3f		1.52f
	9k		2.3f		2.3f
	9k		2.3f		3.48f
	9k		2.3f		5.28f
	9k		2.3f		8.0f
	9k		2.83f		1.0f
	9k		2.83f		1.52f
	9k		2.83f		2.3f
	9k		2.83f		3.48f
	9k		2.83f		5.28f
	9k		2.83f		8.0f
	9k		3.48f		1.0f
	9k		3.48f		1.52f
	9k		3.48f		2.3f
	9k		3.48f		3.48f
	9k		3.48f		5.28f
	9k		3.48f		8.0f
	9k		4.29f		1.0f
	9k		4.29f		1.52f
	9k		4.29f		2.3f
	9k		4.29f		3.48f
	9k		4.29f		5.28f
	9k		4.29f		8.0f
	9k		5.28f		1.0f
	9k		5.28f		1.52f
	9k		5.28f		2.3f
	9k		5.28f		3.48f
	9k		5.28f		5.28f
	9k		5.28f		8.0f
	9k		6.5f		1.0f
	9k		6.5f		1.52f
	9k		6.5f		2.3f
	9k		6.5f		3.48f
	9k		6.5f		5.28f
	9k		6.5f		8.0f
	9k		8.0f		1.0f
	9k		8.0f		1.52f
	9k		8.0f		2.3f
	9k		8.0f		3.48f
	9k		8.0f		5.28f
	9k		8.0f		8.0f
	10k		1.0f		1.0f
	10k		1.0f		1.52f
	10k		1.0f		2.3f
	10k		1.0f		3.48f
	10k		1.0f		5.28f
	10k		1.0f		8.0f
	10k		1.23f		1.0f
	10k		1.23f		1.52f
	10k		1.23f		2.3f
	10k		1.23f		3.48f
	10k		1.23f		5.28f
	10k		1.23f		8.0f
	10k		1.52f		1.0f
	10k		1.52f		1.52f
	10k		1.52f		2.3f
	10k		1.52f		3.48f
	10k		1.52f		5.28f
	10k		1.52f		8.0f
	10k		1.87f		1.0f
	10k		1.87f		1.52f
	10k		1.87f		2.3f
	10k		1.87f		3.48f
	10k		1.87f		5.28f
	10k		1.87f		8.0f
	10k		2.3f		1.0f
	10k		2.3f		1.52f
	10k		2.3f		2.3f
	10k		2.3f		3.48f
	10k		2.3f		5.28f
	10k		2.3f		8.0f
	10k		2.83f		1.0f
	10k		2.83f		1.52f
	10k		2.83f		2.3f
	10k		2.83f		3.48f
	10k		2.83f		5.28f
	10k		2.83f		8.0f
	10k		3.48f		1.0f
	10k		3.48f		1.52f
	10k		3.48f		2.3f
	10k		3.48f		3.48f
	10k		3.48f		5.28f
	10k		3.48f		8.0f
	10k		4.29f		1.0f
	10k		4.29f		1.52f
	10k		4.29f		2.3f
	10k		4.29f		3.48f
	10k		4.29f		5.28f
	10k		4.29f		8.0f
	10k		5.28f		1.0f
	10k		5.28f		1.52f
	10k		5.28f		2.3f
	10k		5.28f		3.48f
	10k		5.28f		5.28f
	10k		5.28f		8.0f
	10k		6.5f		1.0f
	10k		6.5f		1.52f
	10k		6.5f		2.3f
	10k		6.5f		3.48f
	10k		6.5f		5.28f
	10k		6.5f		8.0f
	10k		8.0f		1.0f
	10k		8.0f		1.52f
	10k		8.0f		2.3f
	10k		8.0f		3.48f
	10k		8.0f		5.28f
	10k		8.0f		8.0f
.ENDDATA
